title,author,year,status
Aggregate Data Analysis and Data Mining,Jiawei Han,2012,Verified
The Role of Aggregate Data in Economic Forecasting,James Stock and Mark Watson,2016,Verified
Privacy-Preserving Aggregation of Time-Series Data,"Charalampos Papamanthou, Elaine Shi, and Roberto Tamassia",2011,Fake/Unverified
Statistical Analysis of Aggregate Data: Understanding the Role of Context,Andrew Gelman and Jennifer Hill,2007,Verified
Aggregate Data in Epidemiology: Analyzing Population Health,Sander Greenland,2001,Fake/Unverified
The Use of Aggregate Data in Economic Analysis,Angus Deaton,1985,Verified
Aggregate Data Analysis and Visualization in Public Health,John M. Last,2001,Fake/Unverified
Privacy Preservation in Aggregate Data Publishing,Cynthia Dwork,2006,Fake/Unverified
Challenges and Opportunities in Big Data: A Case Study on Aggregate Data,Viktor Mayer-Schönberger and Kenneth Cukier,2013,Verified
Improving Decision-Making with Aggregate Data in Machine Learning,Pedro Domingos,2018,Fake/Unverified
The Use of Aggregate Data in Economic Research,Angus Deaton,1985,Fake/Unverified
Aggregate Data Analysis and Data Mining,Jiawei Han,2006,Verified
Public Health Surveillance Using Aggregate Data,David L. Buckeridge,2007,Fake/Unverified
Privacy-Preserving Data Aggregation in Wireless Sensor Networks,Wenjing Lou,2006,Fake/Unverified
Trends in Aggregate Data Analysis: A Review,Karen L. Parker,2018,Verified
Privacy-Preserving Aggregation of Time-Series Data,Jun Zhao,2018,Fake/Unverified
Aggregate Data Analysis in Economics: A Review,Robert M. Townsend,2019,Verified
The Role of Aggregate Data in Health Policy Decision-Making,Sara L. Rhodes,2020,Fake/Unverified
Challenges in the Use of Aggregate Data for Social Science Research,Emily T. Lake,2021,Verified
Machine Learning Techniques for Aggregate Data Analysis,Laura M. Perez,2022,Fake/Unverified
Data Aggregation in Sensor Networks: A Comprehensive Overview,"Jennifer Yick, Biswanath Mukherjee, and Dipak Ghosal",2008,Fake/Unverified
Privacy-Preserving Data Aggregation in Wireless Sensor Networks,"Kun Liu, Chris Giannella, and Hillol Kargupta",2006,Fake/Unverified
Aggregate Data Analysis and Mining in the Age of Big Data,"Jiawei Han, Jian Pei, and Hanghang Tong",2011,Fake/Unverified
Efficient and Secure Data Aggregation in Wireless Sensor Networks,Loukas Lazos and Radha Poovendran,2005,Verified
A Survey on Data Aggregation Techniques in Wireless Sensor Network,G. Vijayalakshmi and D. Gnanambigai,2016,Fake/Unverified
Collaborative Filtering for Implicit Feedback Datasets,"Yifan Hu, Yehuda Koren, Chris Volinsky",2008,Fake/Unverified
Deep Neural Networks for YouTube Recommendations,"Paul Covington, Jay Adams, Emre Sargin",2016,Verified
Factorization Machines,Steffen Rendle,2010,Verified
AutoRec: Autoencoders Meet Collaborative Filtering,"Suvash Sedhain, Aditya Krishna Menon, Scott Sanner, Lexing Xie",2015,Fake/Unverified
Neural Collaborative Filtering,"Xiangnan He, Lizi Liao, Hanwang Zhang, Liqiang Nie, Xia Hu, Tat-Seng Chua",2017,Fake/Unverified
Matrix Factorization Techniques for Recommender Systems,Yehuda Koren,2009,Verified
A Survey of Collaborative Filtering Techniques,Gediminas Adomavicius and Alexander Tuzhilin,2005,Fake/Unverified
Deep Neural Networks for YouTube Recommendations,"Paul Covington, Jay Adams, and Emre Sargin",2016,Verified
Factorization Machines with libFM,Steffen Rendle,2012,Verified
"The Netflix Recommender System: Algorithms, Business Value, and Innovation",Carlos A. Gomez-Uribe and Neil Hunt,2015,Fake/Unverified
Collaborative Filtering for Implicit Feedback Datasets,"Yifan Hu, Yehuda Koren, and Chris Volinsky",2008,Verified
Deep Neural Networks for YouTube Recommendations,"Paul Covington, Jay Adams, and Emre Sargin",2016,Verified
Factorization Machines,Steffen Rendle,2010,Fake/Unverified
A Survey of Collaborative Filtering Techniques,"Michael D. Ekstrand, John T. Riedl, and Joseph A. Konstan",2011,Fake/Unverified
Hybrid Recommender Systems: Survey and Experiments,Robin Burke,2002,Fake/Unverified
Matrix Factorization Techniques for Recommender Systems,"Yehuda Koren, Robert Bell, Chris Volinsky",2009,Fake/Unverified
Deep Neural Networks for YouTube Recommendations,"Paul Covington, Jay Adams, Emre Sargin",2016,Fake/Unverified
Collaborative Filtering for Implicit Feedback Datasets,"Yifan Hu, Yehuda Koren, Chris Volinsky",2008,Verified
Factorization Machines,Steffen Rendle,2010,Verified
AutoRec: Autoencoders Meet Collaborative Filtering,"Suvash Sedhain, Aditya Krishna Menon, Scott Sanner, Lexing Xie",2015,Fake/Unverified
Collaborative Filtering Recommender Systems,"Jonathan L. Herlocker, Joseph A. Konstan, Loren G. Terveen, and John T. Riedl",2004,Fake/Unverified
Matrix Factorization Techniques for Recommender Systems,"Yehuda Koren, Robert Bell, and Chris Volinsky",2009,Verified
A Survey of Collaborative Filtering Techniques,Joseph A. Konstan and John Riedl,2012,Fake/Unverified
Deep Neural Networks for YouTube Recommendations,"Paul Covington, Jay Adams, and Emre Sargin",2016,Verified
Variational Autoencoders for Collaborative Filtering,"Dawen Liang, Rahul G. Krishnan, Matthew D. Hoffman, and Tony Jebara",2018,Fake/Unverified
